Interations,"P(1)-D1(B=100K,T=10M)","P(1)-D2(B=100K,T=10M)","P(1)-D3(B=100K,T=10M)","P(1)-D4(B=100K,T=10M)","P(1)-D5(B=1M,T=100M)","P(1)-D6(B=10M,T=1B)"
1,85.3870%,85.2460%,85.2640%,85.3690%,85.4207%,85.4035%
2,85.4230%,85.2305%,85.3120%,85.4650%,85.3854%,85.3965%
3,85.4320%,85.2917%,85.3667%,85.3760%,85.3892%,85.3972%
4,85.3785%,85.3223%,85.3755%,85.3918%,85.4065%,85.3936%
5,85.3742%,85.3446%,85.4024%,85.4002%,85.4022%,85.3942%
6,85.3828%,85.3707%,85.4007%,85.4197%,85.4063%,85.3935%
7,85.3599%,85.3647%,85.4354%,85.4073%,85.4056%,85.3919%
8,85.3849%,85.3388%,85.4370%,85.4323%,85.3984%,85.3953%
9,85.3874%,85.3452%,85.4279%,85.4202%,85.4006%,85.3964%
10,85.3969%,85.3522%,85.4291%,85.4245%,85.4004%,85.3990%
11,85.3945%,85.3650%,85.4256%,85.4241%,85.4055%,85.3987%
12,85.3848%,85.3725%,85.4190%,85.4268%,85.4053%,85.3984%
13,85.4007%,85.3765%,85.4295%,85.4351%,85.4050%,85.3992%
14,85.4028%,85.3994%,85.4260%,85.4276%,85.4041%,85.3985%
15,85.4015%,85.3999%,85.4157%,85.4331%,85.3994%,85.3990%
16,85.4026%,85.3941%,85.4206%,85.4343%,85.4010%,85.4013%
17,85.4169%,85.3914%,85.4195%,85.4276%,85.4028%,85.4014%
18,85.4199%,85.3958%,85.4212%,85.4301%,85.3974%,85.4021%
19,85.4053%,85.3906%,85.4221%,85.4326%,85.3987%,85.4024%
20,85.3982%,85.4012%,85.4221%,85.4344%,85.3965%,85.4024%
21,85.4035%,85.3991%,85.4115%,85.4258%,85.3970%,85.4021%
22,85.3974%,85.3971%,85.4108%,85.4204%,85.3980%,85.4026%
23,85.3960%,85.4020%,85.4073%,85.4187%,85.3973%,85.4030%
24,85.3970%,85.3970%,85.4102%,85.4185%,85.3946%,85.4030%
25,85.4028%,85.3900%,85.4119%,85.4152%,85.3984%,85.4034%
26,85.4025%,85.3922%,85.4068%,85.4172%,85.3989%,85.4028%
27,85.4009%,85.3917%,85.4073%,85.4123%,85.3981%,85.4028%
28,85.3989%,85.3908%,85.4006%,85.4070%,85.3998%,85.4026%
29,85.4044%,85.3900%,85.3988%,85.4058%,85.3967%,85.4029%
30,85.4056%,85.3916%,85.3968%,85.4058%,85.3961%,85.4033%
31,85.4036%,85.3929%,85.3982%,85.4085%,85.3957%,85.4035%
32,85.4006%,85.3876%,85.4002%,85.4042%,85.3955%,85.4030%
33,85.3977%,85.3871%,85.3984%,85.4047%,85.3934%,85.4032%
34,85.3995%,85.3919%,85.3994%,85.3974%,85.3939%,85.4035%
35,85.4019%,85.3921%,85.3972%,85.3973%,85.3958%,85.4037%
36,85.4068%,85.3974%,85.3974%,85.3966%,85.3952%,85.4036%
37,85.4134%,85.3989%,85.3964%,85.3993%,85.3952%,85.4041%
38,85.4118%,85.4037%,85.3985%,85.3964%,85.3948%,85.4039%
39,85.4083%,85.4114%,85.4007%,85.3969%,85.3942%,85.4038%
40,85.4079%,85.4121%,85.4004%,85.3977%,85.3935%,85.4036%
41,85.4069%,85.4155%,85.3971%,85.3947%,85.3932%,85.4034%
42,85.4068%,85.4105%,85.3959%,85.3931%,85.3941%,85.4039%
43,85.4071%,85.4094%,85.3919%,85.3921%,85.3940%,85.4036%
44,85.4063%,85.4113%,85.3923%,85.3958%,85.3941%,85.4037%
45,85.4047%,85.4138%,85.3901%,85.3946%,85.3946%,85.4032%
46,85.4031%,85.4132%,85.3858%,85.3973%,85.3950%,85.4029%
47,85.4054%,85.4123%,85.3879%,85.4010%,85.3951%,85.4030%
48,85.4029%,85.4111%,85.3898%,85.4052%,85.3953%,85.4028%
49,85.4052%,85.4097%,85.3897%,85.4062%,85.3956%,85.4022%
50,85.4035%,85.4129%,85.3901%,85.4060%,85.3960%,85.4023%
51,85.4029%,85.4080%,85.3840%,85.4024%,85.3960%,85.4022%
52,85.4029%,85.4105%,85.3813%,85.4050%,85.3965%,85.4023%
53,85.4045%,85.4090%,85.3831%,85.4070%,85.3970%,85.4022%
54,85.4049%,85.4079%,85.3838%,85.4049%,85.3965%,85.4020%
55,85.4060%,85.4073%,85.3835%,85.4049%,85.3971%,85.4017%
56,85.4059%,85.4096%,85.3837%,85.4034%,85.3967%,85.4018%
57,85.4059%,85.4086%,85.3841%,85.4022%,85.3978%,85.4019%
58,85.4044%,85.4077%,85.3847%,85.4007%,85.3982%,85.4018%
59,85.4048%,85.4086%,85.3869%,85.4022%,85.3989%,85.4016%
60,85.4039%,85.4068%,85.3868%,85.4015%,85.3987%,85.4021%
61,85.4052%,85.4051%,85.3879%,85.4012%,85.3978%,85.4019%
62,85.4077%,85.4067%,85.3889%,85.3988%,85.3978%,85.4017%
63,85.4077%,85.4079%,85.3890%,85.3971%,85.3975%,85.4017%
64,85.4062%,85.4148%,85.3876%,85.3944%,85.3973%,85.4015%
65,85.4074%,85.4142%,85.3867%,85.3974%,85.3967%,85.4016%
66,85.4097%,85.4132%,85.3914%,85.3955%,85.3973%,85.4016%
