"id","year_week","participant_name","activity_flag","msg_uid","msg_datetime"
1,"2025-01","Helen",1,8694813216872814057,"2025-01-05 20:00:04"
2,"2025-01","Helen",1,8694813216872814057,"2025-01-05 20:00:04"
3,"2025-01","Helen",1,8694813216872814057,"2025-01-05 20:00:04"
4,"2025-01","Che",1,8694813216872814057,"2025-01-05 20:00:04"
5,"2025-01","Jason",1,8694813216872814057,"2025-01-05 20:00:04"
6,"2025-01","菲菲",1,8694813216872814057,"2025-01-05 20:00:04"
7,"2025-01","Huiyi",1,8694813216872814057,"2025-01-05 20:00:04"
8,"2025-01","小毅",1,8694813216872814057,"2025-01-05 20:00:04"
9,"2025-01","小毅",1,8694813216872814057,"2025-01-05 20:00:04"
10,"2025-01","小晨",1,8694813216872814057,"2025-01-05 20:00:04"
11,"2025-01","Sunnyboy",1,8694813216872814057,"2025-01-05 20:00:04"
12,"2025-01","Victor",1,8694813216872814057,"2025-01-05 20:00:04"
13,"2025-01","Adam",1,8694813216872814057,"2025-01-05 20:00:04"
14,"2025-01","Adam",1,5219110251553772109,"2025-01-05 20:00:16"
15,"2025-01","Adam",1,5219110251553772109,"2025-01-05 20:00:16"
16,"2025-01","Adam",1,5219110251553772109,"2025-01-05 20:00:16"
17,"2025-01","Adam",1,5219110251553772109,"2025-01-05 20:00:16"
18,"2025-01","Adam",1,2195123754205230318,"2025-01-05 20:00:22"
19,"2025-01","Jassoonk",1,7564838301782574959,"2025-01-05 20:00:26"
20,"2025-01","Adam",1,4010843988254022944,"2025-01-05 20:00:30"
21,"2025-01","Henry W",1,3982239401029273409,"2025-01-05 20:01:43"
22,"2025-01","Jeremy",1,3225841485012827795,"2025-01-05 20:04:22"
23,"2025-01","Henry L",1,4307085960365824712,"2025-01-05 20:09:37"
24,"2025-01","Jane",1,6152447403986613851,"2025-01-05 20:35:01"
25,"2025-01","Cyrus 🐴",1,7189450841737678917,"2025-01-05 21:06:37"
26,"2025-01","0.0",1,6687332910003199431,"2025-01-05 22:08:51"
27,"2025-01","小毅",1,7791264100480618872,"2025-01-06 10:08:26"
28,"2025-01","J",1,6468273514864168721,"2025-01-06 12:53:03"
29,"2025-01","J",3,8854420496697879486,"2025-01-06 15:09:44"
30,"2025-01","Victor",2,9022347681179262396,"2025-01-07 13:57:25"
31,"2025-01","Sam",1,4187565796993484595,"2025-01-07 15:53:46"
32,"2025-01","Sam",3,332329740073737754,"2025-01-07 16:17:06"
33,"2025-01","Cyrus 🐴",3,6935774007578448185,"2025-01-07 21:17:53"
34,"2025-01","Jeremy",3,1834916826639364137,"2025-01-07 23:04:14"
35,"2025-01","小毅",3,6755276039401803286,"2025-01-07 23:55:55"
36,"2025-01","Michelle Y",1,501834077612986603,"2025-01-08 10:23:27"
37,"2025-01","小毅",2,501834077612986603,"2025-01-08 10:23:27"
38,"2025-01","小毅",2,501834077612986603,"2025-01-08 10:23:27"
39,"2025-01","Adam",1,2013680721367782591,"2025-01-08 19:07:52"
40,"2025-01","Henry W",2,2013680721367782591,"2025-01-08 19:07:52"
41,"2025-01","Huiyi",2,2382948886680974728,"2025-01-09 14:50:24"
42,"2025-01","Henry L",2,5128887670262569328,"2025-01-09 17:25:05"
43,"2025-01","Michelle Y",2,2314743787215973441,"2025-01-09 20:47:06"
44,"2025-01","Adam",1,6206492595022607538,"2025-01-09 21:01:57"
45,"2025-01","Gordon",1,8231773289764362366,"2025-01-09 22:12:46"
46,"2025-01","Adam",2,5106254974831847751,"2025-01-09 22:19:15"
47,"2025-01","Adam",1,2804716958264375914,"2025-01-10 12:10:52"
48,"2025-01","Adam",3,3321305690798628020,"2025-01-10 19:20:01"
49,"2025-02","Helen",1,703965338246430234,"2025-01-12 20:00:12"
50,"2025-02","Helen",1,703965338246430234,"2025-01-12 20:00:12"
51,"2025-02","Helen",1,703965338246430234,"2025-01-12 20:00:12"
52,"2025-02","小新",1,703965338246430234,"2025-01-12 20:00:12"
53,"2025-02","小毅",1,703965338246430234,"2025-01-12 20:00:12"
54,"2025-02","小毅",1,703965338246430234,"2025-01-12 20:00:12"
55,"2025-02","June",1,703965338246430234,"2025-01-12 20:00:12"
56,"2025-02","Ha",1,703965338246430234,"2025-01-12 20:00:12"
57,"2025-02","菲菲",1,703965338246430234,"2025-01-12 20:00:12"
58,"2025-02","Michelle",1,703965338246430234,"2025-01-12 20:00:12"
59,"2025-02","Michelle",1,703965338246430234,"2025-01-12 20:00:12"
60,"2025-02","Jason",1,703965338246430234,"2025-01-12 20:00:12"
61,"2025-02","Che",1,703965338246430234,"2025-01-12 20:00:12"
62,"2025-02","Sunnyboy",1,703965338246430234,"2025-01-12 20:00:12"
63,"2025-02","Victor",1,703965338246430234,"2025-01-12 20:00:12"
64,"2025-02","Adam",1,703965338246430234,"2025-01-12 20:00:12"
65,"2025-02","Adam",1,2328658693250799566,"2025-01-12 20:00:23"
66,"2025-02","Adam",1,2328658693250799566,"2025-01-12 20:00:23"
67,"2025-02","Adam",1,2328658693250799566,"2025-01-12 20:00:23"
68,"2025-02","Jassoonk",1,2987773337892700910,"2025-01-12 20:00:23"
69,"2025-02","Adam",2,2987773337892700910,"2025-01-12 20:00:23"
70,"2025-02","Adam",2,2987773337892700910,"2025-01-12 20:00:23"
71,"2025-02","Adam",2,2987773337892700910,"2025-01-12 20:00:23"
72,"2025-02","Adam",1,446844213694480394,"2025-01-12 20:00:32"
73,"2025-02","Adam",1,446844213694480394,"2025-01-12 20:00:32"
74,"2025-02","Adam",1,446844213694480394,"2025-01-12 20:00:32"
75,"2025-02","Adam",1,446844213694480394,"2025-01-12 20:00:32"
76,"2025-02","Adam",1,446844213694480394,"2025-01-12 20:00:32"
77,"2025-02","Adam",1,446844213694480394,"2025-01-12 20:00:32"
78,"2025-02","Adam",1,446844213694480394,"2025-01-12 20:00:32"
79,"2025-02","Jane",1,6939978137695848940,"2025-01-12 21:01:08"
80,"2025-02","adam",1,4582235029080221401,"2025-01-12 21:20:24"
81,"2025-02","0.0",1,1732432595714729099,"2025-01-12 21:32:11"
82,"2025-02","Henry",1,7986700592170124858,"2025-01-12 23:51:30"
83,"2025-02","Jin",1,449337615128195614,"2025-01-13 00:43:37"
84,"2025-02","Jin",1,449337615128195614,"2025-01-13 00:43:37"
85,"2025-02","Jin",1,449337615128195614,"2025-01-13 00:43:37"
86,"2025-02","Helen",2,9121516360852549661,"2025-01-15 19:00:32"
87,"2025-02","Helen",2,9121516360852549661,"2025-01-15 19:00:32"
88,"2025-02","adam",3,5784564227693351680,"2025-01-15 22:30:35"
89,"2025-02","Jin",3,4398968910982345302,"2025-01-15 22:51:41"
90,"2025-02","Jin",3,4398968910982345302,"2025-01-15 22:51:41"
91,"2025-02","Jin",3,4398968910982345302,"2025-01-15 22:51:41"
92,"2025-02","Ha",2,5121823113299290855,"2025-01-16 09:17:59"
93,"2025-02","Gordon",1,475730482952814224,"2025-01-16 10:19:36"
94,"2025-02","Michelle",2,5973332071635094547,"2025-01-16 13:09:26"
95,"2025-02","Michelle",2,5973332071635094547,"2025-01-16 13:09:26"
96,"2025-02","Jeremy",1,1850598777600145484,"2025-01-17 09:05:30"
97,"2025-02","Adam",2,2187578258596085945,"2025-01-17 09:23:58"
98,"2025-02","June",2,1230752129077968726,"2025-01-17 09:43:29"
99,"2025-02","Helen",2,1230752129077968726,"2025-01-17 09:43:29"
100,"2025-02","David",1,1100808979717415182,"2025-01-17 10:09:31"
101,"2025-02","Jeremy",3,7428470955061736991,"2025-01-17 11:29:15"
102,"2025-02","Jassoonk",1,8468996692794816607,"2025-01-17 16:14:11"
103,"2025-02","Jason",2,8433613423348916858,"2025-01-17 16:30:38"
104,"2025-03","Helen",1,5990135028886965976,"2025-01-19 20:00:04"
105,"2025-03","Helen",1,5990135028886965976,"2025-01-19 20:00:04"
106,"2025-03","Helen",1,5990135028886965976,"2025-01-19 20:00:04"
107,"2025-03","Ha",1,5990135028886965976,"2025-01-19 20:00:04"
108,"2025-03","June",1,5990135028886965976,"2025-01-19 20:00:04"
109,"2025-03","Jason",1,5990135028886965976,"2025-01-19 20:00:04"
110,"2025-03","菲菲",1,5990135028886965976,"2025-01-19 20:00:04"
111,"2025-03","小毅",1,5990135028886965976,"2025-01-19 20:00:04"
112,"2025-03","小毅",1,5990135028886965976,"2025-01-19 20:00:04"
113,"2025-03","Sunnyboy",1,5990135028886965976,"2025-01-19 20:00:04"
114,"2025-03","小新",1,5990135028886965976,"2025-01-19 20:00:04"
115,"2025-03","Victor",1,5990135028886965976,"2025-01-19 20:00:04"
116,"2025-03","Adam",1,5990135028886965976,"2025-01-19 20:00:04"
117,"2025-03","Jassoonk",1,1747016176010744242,"2025-01-19 20:00:23"
118,"2025-03","🍈",1,6900434981335910762,"2025-01-19 20:00:24"
119,"2025-03","Adam",1,7098195765451908645,"2025-01-19 20:04:03"
120,"2025-03","Adam",1,7098195765451908645,"2025-01-19 20:04:03"
121,"2025-03","Adam",1,7098195765451908645,"2025-01-19 20:04:03"
122,"2025-03","Adam",1,7098195765451908645,"2025-01-19 20:04:03"
123,"2025-03","Adam",1,7098195765451908645,"2025-01-19 20:04:03"
124,"2025-03","Adam",1,3266048856069824704,"2025-01-19 20:04:11"
125,"2025-03","Lin",1,8181676429261889428,"2025-01-19 20:05:13"
126,"2025-03","一氧化二氢有毒",1,3517553505037639410,"2025-01-19 20:18:35"
127,"2025-03","Jin",1,6777686059774569881,"2025-01-19 22:15:26"
128,"2025-03","Michelle",1,6431183583893441556,"2025-01-19 22:54:54"
129,"2025-03","Michelle",1,7267968669833137457,"2025-01-19 22:55:09"
130,"2025-03","0.0",1,881831713092491536,"2025-01-19 22:55:20"
131,"2025-03","Mi",1,271764534205212260,"2025-01-20 00:22:29"
132,"2025-03","Mi",1,271764534205212260,"2025-01-20 00:22:29"
133,"2025-03","Mi",1,271764534205212260,"2025-01-20 00:22:29"
134,"2025-03","Mi",3,7945772549259755795,"2025-01-21 18:23:29"
135,"2025-03","Mi",3,7945772549259755795,"2025-01-21 18:23:29"
136,"2025-03","Mi",3,7945772549259755795,"2025-01-21 18:23:29"
137,"2025-03","Michelle",2,7945772549259755795,"2025-01-21 18:23:29"
138,"2025-03","Michelle",2,7945772549259755795,"2025-01-21 18:23:29"
139,"2025-03","Jin",3,4071689163105305140,"2025-01-22 09:41:47"
140,"2025-03","Cyrus 🐴",1,6718775868936704185,"2025-01-22 12:52:43"
141,"2025-03","Lin",3,289762094138221467,"2025-01-22 16:32:45"
142,"2025-03","Helen",2,1484265615116676563,"2025-01-22 17:27:28"
143,"2025-03","Helen",2,1484265615116676563,"2025-01-22 17:27:28"
144,"2025-03","Helen",2,1484265615116676563,"2025-01-22 17:27:28"
145,"2025-03","Jin",1,1484265615116676563,"2025-01-22 17:27:28"
146,"2025-03","Jin",1,1484265615116676563,"2025-01-22 17:27:28"
147,"2025-03","Jin",1,1484265615116676563,"2025-01-22 17:27:28"
148,"2025-03","Ha",2,1484265615116676563,"2025-01-22 17:27:28"
149,"2025-03","June",2,1484265615116676563,"2025-01-22 17:27:28"
150,"2025-03","xq",1,5999560502074397199,"2025-01-22 17:56:36"
151,"2025-03","lh",1,8782125844690926373,"2025-01-22 18:30:34"
152,"2025-03","xq",3,4499682545191234004,"2025-01-22 18:31:49"
153,"2025-03","lh",3,1513423691405533765,"2025-01-22 18:31:53"
154,"2025-03","Jason",2,7068061923226714202,"2025-01-23 16:12:11"
155,"2025-03","Cyrus 🐴",3,2216339589074917544,"2025-01-23 17:51:23"
156,"2025-03","Victor",2,639659951614752882,"2025-01-23 17:56:56"
157,"2025-03","XD",1,8792623851284408079,"2025-01-24 10:52:28"
158,"2025-03","Adam",2,6450691832699494752,"2025-01-24 11:00:55"
159,"2025-03","请叫我🐒哥",1,3827394760745403877,"2025-01-24 12:56:14"
160,"2025-03","ㅤᅠㅤㅤㅤㅤ :)",1,174828584661329038,"2025-01-24 15:26:03"
161,"2025-03","ㅤᅠㅤㅤㅤㅤ :)",1,174828584661329038,"2025-01-24 15:26:03"
162,"2025-03","0.0",2,7010030394943858079,"2025-01-24 18:39:00"
163,"2025-03","ㅤᅠㅤㅤㅤㅤ :)",3,5072531589776244682,"2025-01-24 18:40:35"
164,"2025-03","ㅤᅠㅤㅤㅤㅤ :)",3,5072531589776244682,"2025-01-24 18:40:35"
165,"2025-03","兄弟",1,6109382208864997095,"2025-01-24 18:41:02"
166,"2025-03","小新",1,8756000658887778364,"2025-01-24 23:58:25"
167,"2025-03","Adam",2,8756000658887778364,"2025-01-24 23:58:25"
168,"2025-04","Helen",1,988058084454599484,"2025-01-26 20:00:21"
169,"2025-04","Helen",1,988058084454599484,"2025-01-26 20:00:21"
170,"2025-04","Helen",1,988058084454599484,"2025-01-26 20:00:21"
171,"2025-04","Ha",1,988058084454599484,"2025-01-26 20:00:21"
172,"2025-04","Michelle",1,988058084454599484,"2025-01-26 20:00:21"
173,"2025-04","Michelle",1,988058084454599484,"2025-01-26 20:00:21"
174,"2025-04","Jason",1,988058084454599484,"2025-01-26 20:00:21"
175,"2025-04","菲菲",1,988058084454599484,"2025-01-26 20:00:21"
176,"2025-04","Huiyi",1,988058084454599484,"2025-01-26 20:00:21"
177,"2025-04","Che",1,988058084454599484,"2025-01-26 20:00:21"
178,"2025-04","小晨",1,988058084454599484,"2025-01-26 20:00:21"
179,"2025-04","Sunnyboy",1,988058084454599484,"2025-01-26 20:00:21"
180,"2025-04","Victor",1,988058084454599484,"2025-01-26 20:00:21"
181,"2025-04","Adam",1,988058084454599484,"2025-01-26 20:00:21"
182,"2025-04","Lin",1,6492797341672368737,"2025-01-26 20:00:28"
183,"2025-04","Victor",1,3320276612226525113,"2025-01-26 20:00:28"
184,"2025-04","Jassoonk",1,8146689059805514118,"2025-01-26 20:00:30"
185,"2025-04","Victor",1,2560893348267815655,"2025-01-26 20:00:32"
186,"2025-04","Jassoonk",1,4981314897834384391,"2025-01-26 20:00:42"
187,"2025-04","Victor",1,8938294942859797090,"2025-01-26 20:01:25"
188,"2025-04","Jassoonk",1,8711963308782364664,"2025-01-26 20:02:30"
189,"2025-04","Grace",1,6557252125906553872,"2025-01-26 20:16:42"
190,"2025-04","Mia",1,6557252125906553872,"2025-01-26 20:16:42"
191,"2025-04","Henry W",1,7074769142266135862,"2025-01-26 20:22:46"
192,"2025-04","Henry W",1,8274436802021234838,"2025-01-26 20:23:02"
193,"2025-04","一氧化二氢有毒",1,262461387104408819,"2025-01-26 20:31:10"
194,"2025-04","小e",1,8561431358298974299,"2025-01-26 20:32:55"
195,"2025-04","小e",1,8561431358298974299,"2025-01-26 20:32:55"
196,"2025-04","Adam",1,2832275229461740814,"2025-01-26 20:35:16"
197,"2025-04","Adam",1,2832275229461740814,"2025-01-26 20:35:16"
198,"2025-04","Adam",1,2832275229461740814,"2025-01-26 20:35:16"
199,"2025-04","Adam",1,2832275229461740814,"2025-01-26 20:35:16"
200,"2025-04","Adam",1,2832275229461740814,"2025-01-26 20:35:16"
201,"2025-04","Adam",1,2832275229461740814,"2025-01-26 20:35:16"
202,"2025-04","Adam",1,2832275229461740814,"2025-01-26 20:35:16"
203,"2025-04","Adam",1,2832275229461740814,"2025-01-26 20:35:16"
204,"2025-04","0.0",1,2120223209375639327,"2025-01-26 20:37:39"
205,"2025-04","小e",3,3584145571571904160,"2025-01-26 22:35:19"
206,"2025-04","小e",3,3584145571571904160,"2025-01-26 22:35:19"
207,"2025-04","一氧化二氢有毒",3,7390664190225667535,"2025-01-30 03:39:52"
208,"2025-04","Jassoonk",1,6008391648902645110,"2025-01-30 10:19:11"
